change_type,activity_id,activity_name,old_value_days,new_value_days,implementation
REMAINING_DURATION,CON-B01-BAS02-1040,Shuttering for Slabs & Beams (B01) (Bas 02),10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS02-1070,RFT for Slabs & Beams (B01) (Bas 02),10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS02-1120,"Curing for Slabs, Beams, Ramps & Stairs (B01) (Bas 02)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1000,"Scaffolding works for Walls, Col. & Cores (B01) (Bas 01)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1010,"RFT for Walls, Col. & Cores (B01) (Bas 01)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1020,"Shuttering for Walls, Col. & Cores (B01) (Bas 01)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1040,Shuttering for Slabs & Beams (B01) (Bas 01),8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1060,RFT for Slabs & Beams (B01) (Bas 01),10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1120,"Curing for Slabs, Beams (B01) (Bas 01)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1000,"Scaffolding works for Walls, Col. & Cores (B01) (GR)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1010,"RFT for Walls, Col. & Cores (B01) (GR)",10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1020,"Shuttering for Walls, Col. & Cores (B01) (GR)",10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1050,Shuttering for Stairs  (B01) (GR),8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1060,RFT for Slabs & Beams (B01) (GR),10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1070,RFT for Stairs  (B01) (GR),8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1100,"Curing for Slabs, Beams & Stairs (B01) (GR)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (6th)",4.0,3.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1010,"RFT for Walls, Col. & Cores (B01) (6th)",6.0,4.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1020,"Shuttering for Walls, Col. & Cores (B01) (6th)",6.0,4.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1040,"Shuttering for Slabs, Beams & Stairs (B01) (6th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1050,"RFT for Slabs, Beams & Stairs (B01) (6th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-6TH-1070,"Curing for Slabs, Beams & Stairs (B01) (6th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (7th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1010,"RFT for Walls, Col. & Cores (B01) (7th)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1020,"Shuttering for Walls, Col. & Cores (B01) (7th)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1040,"Shuttering for Slabs, Beams & Stairs (B01) (7th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1050,"RFT for Slabs, Beams & Stairs (B01) (7th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-7TH-1070,"Curing for Slabs, Beams & Stairs (B01) (7th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (8th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1010,"RFT for Walls, Col. & Cores (B01) (8th)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1020,"Shuttering for Walls, Col. & Cores (B01) (8th)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1040,"Shuttering for Slabs, Beams & Stairs (B01) (8th)",8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1050,"RFT for Slabs, Beams & Stairs (B01) (8th)",8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-8TH-1070,"Curing for Slabs, Beams & Stairs (B01) (8th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1000,"Scaffolding works for Walls, Col. & Cores (B01) (1st)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1010,"RFT for Walls, Col. & Cores (B01) (1st)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1020,"Shuttering for Walls, Col. & Cores (B01) (1st)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1050,"RFT for Slabs, Beams & Stairs(B01) (1st)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1060,"Pouring for Slabs, Beams & Stairs (B01) (1st)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-1ST-1070,"Curing for Slabs, Beams & Stairs (B01) (1st)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1000,"Scaffolding works for Walls, Col. & Cores (B01) (2nd)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1010,"RFT for Walls, Col. & Cores (B01) (2nd)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1020,"Shuttering for Walls, Col. & Cores (B01) (2nd)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1040,"Shuttering for Slabs, Beams & Stairs (B01) (2nd)",8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1050,"RFT for Slabs, Beams & Stairs (B01) (2nd)",8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1060,"Pouring for Slabs, Beams & Stairs (B01) (2nd)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-2ND-1070,"Curing for Slabs, Beams & Stairs (B01) (2nd)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1000,"Scaffolding works for Walls, Col. & Cores (B01) (3rd)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1010,"RFT for Walls, Col. & Cores (B01) (3rd)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1020,"Shuttering for Walls, Col. & Cores (B01) (3rd)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1040,"Shuttering for Slabs, Beams & Stairs (B01) (3rd)",10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)",10.0,7.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1060,"Pouring for Slabs, Beams & Stairs (B01) (3rd)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-3RD-1070,"Curing for Slabs, Beams & Stairs(B01) (3rd)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (4th)",5.0,3.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1010,"RFT for Walls, Col. & Cores (B01) (4th)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1020,"Shuttering for Walls, Col. & Cores (B01) (4th)",7.0,5.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1040,"Shuttering for Slabs, Beams & Stairs (B01) (4th)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1050,"RFT for Slabs, Beams & Stairs (B01) (4th)",12.0,9.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1060,"Pouring for Slabs, Beams & Stairs (B01) (4th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-4TH-1070,"Curing for Slabs, Beams & Stairs (B01) (4th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (5th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1010,"RFT for Walls, Col. & Cores (B01) (5th)",6.0,4.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1020,"Shuttering for Walls, Col. & Cores (B01) (5th)",6.0,4.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1040,"Shuttering for Slabs, Beams & Stairs (B01) (5th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1050,"RFT for Slabs, Beams & Stairs (B01) (5th)",9.0,6.75,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-5TH-1070,"Curing for Slabs, Beams & Stairs (B01) (5th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-9TH-1050,"RFT for Slabs, Beams  (B01) (RF)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-9TH-1070,"Curing for Slabs, Beams  (B01) (RF)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-1ST-1070,"Curing for Slabs, Beams & Stairs (B04) (1st)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-2ND-1070,"Curing for Slabs, Beams & Stairs (B04) (2nd)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-4TH-1070,"Curing for Slabs, Beams & Stairs (B04) (4th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-5TH-1070,"Curing for Slabs, Beams & Stairs (B04) (5th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-6TH-1070,"Curing for Slabs, Beams & Stairs (B04) (6th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
