source_table,source_path,row_order,project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note,RFI,Submittion date,Reply,Delay beyond 10d,risk_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date
ifc_conflict,01-data/import_templates/ifc_conflict.csv,1,Sophia-Mall,E-SUB-SM-1020,Structural and architectural shop drawings,18,22-Nov-25,11-Jan-26,12-Apr-26,13-Apr-26,1-May-26,-115,Mock record: revised IFC/design clarification affected mall sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,2,Sophia-Mall,E-APP-SM-1020,Approval of podium and basement drawings,18,5-Jan-26,19-Feb-26,12-Apr-26,15-Apr-26,3-May-26,-82,Mock record: revised IFC/design clarification affected mall sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,3,Sophia-Mall,CON-SM-EXC-1010,Bulk excavation and dewatering,18,9-Dec-25,1-Apr-26,12-Apr-26,17-Apr-26,5-May-26,-47,Mock record: revised IFC/design clarification affected mall sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,4,Sophia-Mall,CON-SM-RFT-1020,RFT for raft foundation,18,22-Feb-26,16-Apr-26,12-Apr-26,19-Apr-26,7-May-26,-38,Mock record: revised IFC/design clarification affected mall sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,1,Sophia-Mall,CON-SM-EXC-1010,Bulk excavation and dewatering,,,,,,,,Closed within review cycle,RFI-001,24-Nov-25,4-Dec-25,0,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,2,Sophia-Mall,CON-SM-RFT-1020,RFT for raft foundation,,,,,,,,Closed within review cycle,RFI-002,7-Feb-26,17-Feb-26,0,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,3,Sophia-Mall,CON-SM-CON-1030,Raft foundation concrete works,,,,,,,,Response delayed beyond contractual review cycle,RFI-003,15-Mar-26,26-Mar-26,1,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,4,Sophia-Mall,CON-SM-B1-1040,Basement B1 columns and walls,,,,,,,,Response delayed beyond contractual review cycle,RFI-004,14-Apr-26,26-Apr-26,2,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,5,Sophia-Mall,CON-SM-GF-1050,Ground floor slab and beams,,,,,,,,Response delayed beyond contractual review cycle,RFI-005,11-Jun-26,24-Jun-26,3,,,,,,,,,,
risks,01-data/import_templates/risks.csv,1,Sophia-Mall,,,,,,,,,,,,,,,R-001,Steel delivery delay,Schedule,medium,yes,yes,Mitigate,Project manager,open,30-Jun-26
risks,01-data/import_templates/risks.csv,2,Sophia-Mall,,,,,,,,,,,,,,,R-002,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26
risks,01-data/import_templates/risks.csv,3,Sophia-Mall,,,,,,,,,,,,,,,R-003,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,1,Sophia-Mall-P.02-UP-26-Jun-26, E-SUB-SM-NW-1040,Submittal for structural RFT/embedded coordination (North-Wing),14,22-Dec-25,28-Feb-26,1-May-26,3-May-26,17-May-26,78,Fake IFC conflict: revised structural/MEP coordination delayed release for North-Wing; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,2,Sophia-Mall-P.02-UP-26-Jun-26, E-SUB-SM-SW-1050,Submittal for structural RFT/embedded coordination (South-Wing),21,3-Jan-26,6-Apr-26,2-May-26,7-May-26,28-May-26,52,Fake IFC conflict: revised structural/MEP coordination delayed release for South-Wing; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,3,Sophia-Mall-P.02-UP-26-Jun-26, E-SUB-SM-AT-1060,Submittal for structural RFT/embedded coordination (Atrium),14,15-Jan-26,24-Mar-26,30-Apr-26,3-May-26,17-May-26,54,Fake IFC conflict: revised structural/MEP coordination delayed release for Atrium; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,4,Sophia-Mall-P.02-UP-26-Jun-26, E-SUB-SM-CB-1070,Submittal for structural RFT/embedded coordination (Cinema-Block),21,27-Jan-26,25-Mar-26,1-May-26,4-May-26,25-May-26,61,Fake IFC conflict: revised structural/MEP coordination delayed release for Cinema-Block; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,5,Sophia-Mall-P.02-UP-26-Jun-26, E-SUB-SM-PP-1080,Submittal for structural RFT/embedded coordination (Parking-Podium),14,8-Feb-26,17-Apr-26,2-May-26,4-May-26,18-May-26,31,Fake IFC conflict: revised structural/MEP coordination delayed release for Parking-Podium; use for dashboard/TIA testing only,,,,,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,1,Sophia-Mall-P.02-UP-26-Jun-26,CON-SM-NW-RFT-1050,RFT for North wing raft RFT (North-Wing),,,,,,,,Reply required before embedded MEP sleeves and reinforcement closure, SM-CW-CON-RFI-STR-001,17-Feb-26,21-Mar-26,-22,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,2,Sophia-Mall-P.02-UP-26-Jun-26,CON-SM-SW-RFT-1060,RFT for South wing columns RFT (South-Wing),,,,,,,,Bearing/anchor details required before RFT inspection and concrete release, SM-CW-CON-RFI-STR-002,24-Feb-26,20-Mar-26,-14,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,3,Sophia-Mall-P.02-UP-26-Jun-26,CON-SM-AT-RFT-1070,RFT for Atrium transfer slab RFT (Atrium),,,,,,,,Revised opening dimensions required before fixing starter bars, SM-CW-CON-RFI-STR-003,3-Mar-26,27-Mar-26,-14,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,4,Sophia-Mall-P.02-UP-26-Jun-26,CON-SM-CB-RFT-1080,RFT for Cinema block shear wall RFT (Cinema-Block),,,,,,,,Drainage/pump detail required before slab casting, SM-CW-CON-RFI-STR-004,10-Mar-26,11-Apr-26,-22,,,,,,,,,,
