bundle_version,source_scope,source_file,row_kind,row_order,payload_json
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,schema,0,"{""headers"":[""project_id"",""wbs_id"",""activity_id"",""activity_name"",""planned_start"",""planned_finish"",""actual_start"",""actual_finish"",""forecast_start"",""forecast_finish"",""planned_weight"",""planned_progress"",""actual_progress"",""total_float_days"",""is_critical"",""responsible_party""],""source_sha256"":""33e62e4290bc3157371d8301b8580cecc6287a19cc23274f757cad208381462e""}"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,1,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.MILESTONE"",""NCT-MS-1000"",""Notice to Proceed"",""5-Jan-26"","""",""5-Jan-26 A"",""5-Jan-26 A"",""5-Jan-26"","""",""0.0200"",""1.00"",""1.00"",""8"",""No"",""Project Controls""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,2,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.MILESTONE"",""NCT-MS-1010"",""Site Handover"",""8-Jan-26"","""",""9-Jan-26 A"",""9-Jan-26 A"",""9-Jan-26"","""",""0.0280"",""1.00"",""1.00"",""10"",""No"",""Commercial""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,3,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.ENGINEERING"",""NCT-ENG-1020"",""Issue IFC Architectural Drawings"",""10-Jan-26"",""23-Jan-26"",""12-Jan-26 A"",""25-Jan-26 A"",""12-Jan-26"",""25-Jan-26"",""0.0360"",""1.00"",""1.00"",""12"",""No"",""Engineering""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,4,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.ENGINEERING"",""NCT-ENG-1030"",""Approve Structural Shop Drawings"",""17-Jan-26"",""6-Feb-26"",""17-Jan-26 A"",""9-Feb-26 A"",""17-Jan-26"",""9-Feb-26"",""0.0440"",""1.00"",""1.00"",""14"",""No"",""Engineering""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,5,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.PROCUREMENT"",""NCT-PRC-1040"",""Procure Reinforcement Steel"",""25-Jan-26"",""28-Feb-26"",""26-Jan-26 A"",""28-Feb-26 A"",""26-Jan-26"",""28-Feb-26"",""0.0520"",""1.00"",""1.00"",""16"",""No"",""Procurement""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,6,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.PROCUREMENT"",""NCT-PRC-1050"",""Deliver Formwork Materials"",""30-Jan-26"",""26-Feb-26"",""1-Feb-26 A"",""27-Feb-26 A"",""1-Feb-26"",""27-Feb-26"",""0.0600"",""1.00"",""1.00"",""18"",""No"",""Procurement""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,7,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE"",""NCT-A-EXC-1060"",""Building A Excavation"",""9-Feb-26"",""26-Feb-26"",""9-Feb-26 A"",""28-Feb-26 A"",""9-Feb-26"",""28-Feb-26"",""0.0200"",""1.00"",""1.00"",""20"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,8,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE"",""NCT-A-PC-1070"",""Building A Plain Concrete"",""27-Feb-26"",""6-Mar-26"",""28-Feb-26 A"",""9-Mar-26 A"",""28-Feb-26"",""9-Mar-26"",""0.0280"",""1.00"",""1.00"",""22"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,9,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE"",""NCT-A-RFT-1080"",""Building A Raft Reinforcement"",""7-Mar-26"",""26-Mar-26"",""9-Mar-26 A"",""26-Mar-26 A"",""9-Mar-26"",""26-Mar-26"",""0.0360"",""1.00"",""1.00"",""12"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,10,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE"",""NCT-A-CON-1090"",""Building A Raft Concrete"",""27-Mar-26"",""31-Mar-26"",""27-Mar-26 A"",""1-Apr-26 A"",""27-Mar-26"",""1-Apr-26"",""0.0440"",""1.00"",""1.00"",""15"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,11,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE"",""NCT-B-EXC-1100"",""Building B Excavation"",""16-Feb-26"",""7-Mar-26"",""17-Feb-26 A"",""9-Mar-26 A"",""17-Feb-26"",""9-Mar-26"",""0.0520"",""1.00"",""1.00"",""28"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,12,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE"",""NCT-B-PC-1110"",""Building B Plain Concrete"",""8-Mar-26"",""14-Mar-26"",""10-Mar-26 A"",""17-Mar-26 A"",""10-Mar-26"",""17-Mar-26"",""0.0600"",""1.00"",""1.00"",""30"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,13,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE"",""NCT-B-RFT-1120"",""Building B Raft Reinforcement"",""15-Mar-26"",""5-Apr-26"",""15-Mar-26 A"",""5-Apr-26 A"",""15-Mar-26"",""5-Apr-26"",""0.0200"",""1.00"",""1.00"",""24"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,14,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE"",""NCT-B-CON-1130"",""Building B Raft Concrete"",""6-Apr-26"",""11-Apr-26"",""7-Apr-26 A"",""12-Apr-26 A"",""7-Apr-26"",""12-Apr-26"",""0.0280"",""1.00"",""1.00"",""27"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,15,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.UTILITIES"",""NCT-UTL-1140"",""Underground Drainage Network"",""16-Mar-26"",""14-Apr-26"",""18-Mar-26 A"",""16-Apr-26 A"",""18-Mar-26"",""16-Apr-26"",""0.0360"",""1.00"",""1.00"",""36"",""No"",""MEP""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,16,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.SUPERSTRUCTURE"",""NCT-STR-1150"",""Ground Floor Structural Frame"",""13-Apr-26"",""27-May-26"",""13-Apr-26 A"","""",""13-Apr-26"",""12-Jun-26"",""0.0440"",""1.00"",""0.89"",""33"",""No"",""Civil""]"
2026-08-15.lossless-project-input-bundle.v1,data/activities.csv,01-data/import_templates/activities.csv,data,17,"[""Nasr city-Tunnel"",""Nasr city-Tunnel.NCT.MILESTONE"",""NCT-MS-1160"",""Substructure Completion"",""28-May-26"","""",""29-May-26 A"","""",""29-May-26"","""",""0.0520"",""1.00"",""0.92"",""36"",""No"",""Project Controls""]"
2026-08-15.lossless-project-input-bundle.v1,data/claims.csv,01-data/import_templates/claims.csv,schema,0,"{""headers"":[""project_id"",""claim_id"",""contract_id"",""claim_event_ref"",""claim_title"",""notice_date"",""particulars_due"",""claimed_amount"",""claimed_days"",""status"",""entitlement_basis"",""responsibility""],""source_sha256"":""88491d0359d296662ad3f557769c3550134dc69c5cafe14ac9118460f5ec519d""}"
2026-08-15.lossless-project-input-bundle.v1,data/claims.csv,01-data/import_templates/claims.csv,data,1,"[""Nasr city-Tunnel"",""CL-101"",""NCT-PKG-01"",""DE-101"",""Late approval of structural shop drawings"",""9-Mar-26"",""20-Apr-26"",""8400000"",""21"",""submitted"",""Delayed engineer review and approval"",""engineer""]"
2026-08-15.lossless-project-input-bundle.v1,data/claims.csv,01-data/import_templates/claims.csv,data,2,"[""Nasr city-Tunnel"",""CL-102"",""NCT-PKG-01"",""DE-102"",""Restricted access to Building B workfront"",""22-Apr-26"",""3-Jun-26"",""6150000"",""14"",""draft"",""Employer access obligation"",""client""]"
2026-08-15.lossless-project-input-bundle.v1,data/contracts.csv,01-data/import_templates/contracts.csv,schema,0,"{""headers"":[""contract_id"",""project_id"",""package"",""contractor"",""contract_type"",""original_value"",""approved_variations"",""pending_variations"",""paid_to_date"",""retention_percent"",""status""],""source_sha256"":""60957b438759509bbcbbb08ddc4f826f072ed6ecd05dd54af7f69f8063322dcd""}"
2026-08-15.lossless-project-input-bundle.v1,data/contracts.csv,01-data/import_templates/contracts.csv,data,1,"[""NCT-PKG-01"",""Nasr city-Tunnel"",""Main Buildings and External Works"",""Vertex Build JV"",""Lump sum"",""980000000"",""28500000"",""17000000"",""265000000"",""5%"",""Active""]"
2026-08-15.lossless-project-input-bundle.v1,data/contracts.csv,01-data/import_templates/contracts.csv,data,2,"[""NCT-PKG-02"",""Nasr city-Tunnel"",""MEP and Utility Networks"",""Nova MEP Consortium"",""Unit rate"",""310000000"",""9200000"",""6800000"",""74500000"",""5%"",""Active""]"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,schema,0,"{""headers"":[""project_id"",""Primary Event ID"",""Activity ID"",""Activity Name"",""BL Start"",""BL Finish"",""Start"",""Finish"",""Delayed duration"",""Overlap Start"",""Overlap Finish"",""BL Critical Path"",""Current Critical Path"",""Delayed duration after overlap""],""source_sha256"":""fad83bf2c30cc2b2568e1d990bc0a42d2c35041a511ecde0e5abb86f981e02e4""}"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,data,1,"[""Nasr city-Tunnel"",""Late structural shop drawing approval"",""NCT-A-RFT-1080"",""Building A Raft Reinforcement"",""7-Mar-26"",""26-Mar-26"",""18-Mar-26"",""12-Apr-26"",""-17"",""18-Mar-26"",""12-Apr-26"",""Yes"",""Yes"",""17""]"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,data,2,"[""Nasr city-Tunnel"",""Restricted Building B access"",""NCT-B-EXC-1100"",""Building B Excavation"",""16-Feb-26"",""7-Mar-26"",""3-Mar-26"",""28-Mar-26"",""-21"",""3-Mar-26"",""28-Mar-26"",""No"",""Yes"",""15""]"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,data,3,"[""Nasr city-Tunnel"",""Late utility diversion instruction"",""NCT-UTL-1140"",""Underground Drainage Network"",""16-Mar-26"",""14-Apr-26"",""29-Mar-26"",""8-May-26"",""-24"",""29-Mar-26"",""8-May-26"",""Yes"",""Yes"",""24""]"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,data,4,"[""Nasr city-Tunnel"",""Concrete plant interruption"",""NCT-B-CON-1130"",""Building B Raft Concrete"",""6-Apr-26"",""11-Apr-26"",""14-Apr-26"",""22-Apr-26"",""-11"",""14-Apr-26"",""22-Apr-26"",""No"",""No"",""6""]"
2026-08-15.lossless-project-input-bundle.v1,data/delay_events.csv,01-data/import_templates/delay_events.csv,data,5,"[""Nasr city-Tunnel"",""Additional dewatering requirement"",""NCT-A-EXC-1060"",""Building A Excavation"",""9-Feb-26"",""26-Feb-26"",""14-Feb-26"",""8-Mar-26"",""-10"",""14-Feb-26"",""8-Mar-26"",""Yes"",""No"",""10""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,schema,0,"{""headers"":[""project_id"",""activity_id"",""activity_name"",""period"",""BAC"",""AC"",""EV"",""PV"",""CPI"",""SPI"",""CV"",""SV""],""source_sha256"":""86f9b2d9a09bee8805c032eec90e55fd55b4c4b009f16e975e34d47e27aa91f7""}"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,1,"[""Nasr city-Tunnel"",""NCT-MS-1000"",""Notice to Proceed"",""May-26"",""4500000.00"",""4635000.00"",""4500000.00"",""4500000.00"",""0.97"",""1.00"",""-135000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,2,"[""Nasr city-Tunnel"",""NCT-MS-1010"",""Site Handover"",""May-26"",""5625000.00"",""5934375.00"",""5625000.00"",""5625000.00"",""0.95"",""1.00"",""-309375.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,3,"[""Nasr city-Tunnel"",""NCT-ENG-1020"",""Issue IFC Architectural Drawings"",""May-26"",""6750000.00"",""7290000.00"",""6750000.00"",""6750000.00"",""0.93"",""1.00"",""-540000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,4,"[""Nasr city-Tunnel"",""NCT-ENG-1030"",""Approve Structural Shop Drawings"",""May-26"",""7125000.00"",""7338750.00"",""7125000.00"",""7125000.00"",""0.97"",""1.00"",""-213750.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,5,"[""Nasr city-Tunnel"",""NCT-PRC-1040"",""Procure Reinforcement Steel"",""May-26"",""8250000.00"",""8703750.00"",""8250000.00"",""8250000.00"",""0.95"",""1.00"",""-453750.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,6,"[""Nasr city-Tunnel"",""NCT-PRC-1050"",""Deliver Formwork Materials"",""May-26"",""9375000.00"",""10125000.00"",""9375000.00"",""9375000.00"",""0.93"",""1.00"",""-750000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,7,"[""Nasr city-Tunnel"",""NCT-A-EXC-1060"",""Building A Excavation"",""May-26"",""9750000.00"",""10042500.00"",""9750000.00"",""9750000.00"",""0.97"",""1.00"",""-292500.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,8,"[""Nasr city-Tunnel"",""NCT-A-PC-1070"",""Building A Plain Concrete"",""May-26"",""10875000.00"",""11473125.00"",""10875000.00"",""10875000.00"",""0.95"",""1.00"",""-598125.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,9,"[""Nasr city-Tunnel"",""NCT-A-RFT-1080"",""Building A Raft Reinforcement"",""May-26"",""12000000.00"",""12960000.00"",""12000000.00"",""12000000.00"",""0.93"",""1.00"",""-960000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,10,"[""Nasr city-Tunnel"",""NCT-A-CON-1090"",""Building A Raft Concrete"",""May-26"",""12375000.00"",""12746250.00"",""12375000.00"",""12375000.00"",""0.97"",""1.00"",""-371250.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,11,"[""Nasr city-Tunnel"",""NCT-B-EXC-1100"",""Building B Excavation"",""May-26"",""13500000.00"",""14242500.00"",""13500000.00"",""13500000.00"",""0.95"",""1.00"",""-742500.00"",""0.00""]"
