source_table,source_path,row_order,project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note,RFI,Submittion date,Reply,Delay beyond 10d,risk_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date
ifc_conflict,01-data/import_templates/ifc_conflict.csv,1,LMD-Bridge,E-SUB-LB-1020,Bridge substructure shop drawings,18,20-Dec-25,14-Feb-26,30-Apr-26,1-May-26,19-May-26,-115,Mock record: revised IFC/design clarification affected bridge sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,2,LMD-Bridge,E-APP-LB-1020,Approval of pier and deck shop drawings,18,26-Jan-26,24-Mar-26,30-Apr-26,3-May-26,21-May-26,-83,Mock record: revised IFC/design clarification affected bridge sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,3,LMD-Bridge,CON-LB-PIL-1010,Bored piles and pile caps,18,10-Jan-26,14-May-26,30-Apr-26,5-May-26,23-May-26,-38,Mock record: revised IFC/design clarification affected bridge sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,4,LMD-Bridge,CON-LB-RFT-1020,RFT for piers and abutments,18,17-Mar-26,27-May-26,30-Apr-26,7-May-26,25-May-26,-31,Mock record: revised IFC/design clarification affected bridge sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,1,LMD-Bridge,CON-LB-PIL-1010,Bored piles and pile caps,,,,,,,,Response delayed beyond contractual review cycle,RFI-001,26-Dec-25,11-Jan-26,6,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,2,LMD-Bridge,CON-LB-RFT-1020,RFT for piers and abutments,,,,,,,,Response delayed beyond contractual review cycle,RFI-002,2-Mar-26,21-Mar-26,9,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,3,LMD-Bridge,CON-LB-CON-1030,Concrete works for piers and abutments,,,,,,,,Response delayed beyond contractual review cycle,RFI-003,9-Apr-26,1-May-26,12,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,4,LMD-Bridge,CON-LB-DECK-1040,Deck formwork reinforcement and casting,,,,,,,,Response delayed beyond contractual review cycle,RFI-004,29-May-26,23-Jun-26,15,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,5,LMD-Bridge,CON-LB-ROAD-1050,Approach road embankment and pavement,,,,,,,,Response delayed beyond contractual review cycle,RFI-005,12-Aug-26,9-Sep-26,18,,,,,,,,,,
risks,01-data/import_templates/risks.csv,1,LMD-Bridge,,,,,,,,,,,,,,,R-001,Steel delivery delay,Schedule,high,yes,yes,Mitigate,Project manager,open,30-Jun-26
risks,01-data/import_templates/risks.csv,2,LMD-Bridge,,,,,,,,,,,,,,,R-002,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26
risks,01-data/import_templates/risks.csv,3,LMD-Bridge,,,,,,,,,,,,,,,R-003,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,1,LMD-Bridge-P.03-UP-26-Jun-26, E-SUB-LB-AA-1040,Submittal for structural RFT/embedded coordination (Abutment-A),14,11-Dec-25,7-Mar-26,1-May-26,3-May-26,17-May-26,71,Fake IFC conflict: revised structural/MEP coordination delayed release for Abutment-A; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,2,LMD-Bridge-P.03-UP-26-Jun-26, E-SUB-LB-P1-1050,Submittal for structural RFT/embedded coordination (Pier-P1),14,23-Dec-25,26-Jan-26,2-May-26,7-May-26,21-May-26,115,Fake IFC conflict: revised structural/MEP coordination delayed release for Pier-P1; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,3,LMD-Bridge-P.03-UP-26-Jun-26, E-SUB-LB-P2-1060,Submittal for structural RFT/embedded coordination (Pier-P2),21,4-Jan-26,20-Mar-26,30-Apr-26,5-May-26,26-May-26,67,Fake IFC conflict: revised structural/MEP coordination delayed release for Pier-P2; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,4,LMD-Bridge-P.03-UP-26-Jun-26, E-SUB-LB-DS-1070,Submittal for structural RFT/embedded coordination (Deck-Span),14,16-Jan-26,25-Mar-26,1-May-26,6-May-26,20-May-26,56,Fake IFC conflict: revised structural/MEP coordination delayed release for Deck-Span; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,5,LMD-Bridge-P.03-UP-26-Jun-26, E-SUB-LB-AB-1080,Submittal for structural RFT/embedded coordination (Abutment-B),14,28-Jan-26,3-Mar-26,2-May-26,5-May-26,19-May-26,77,Fake IFC conflict: revised structural/MEP coordination delayed release for Abutment-B; use for dashboard/TIA testing only,,,,,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,1,LMD-Bridge-P.03-UP-26-Jun-26,CON-LB-AA-RFT-1050,RFT for Abutment A pile cap RFT (Abutment-A),,,,,,,,Reply required before embedded MEP sleeves and reinforcement closure, LB-CW-CON-RFI-STR-001,17-Feb-26,6-Apr-26,-38,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,2,LMD-Bridge-P.03-UP-26-Jun-26,CON-LB-P1-RFT-1060,RFT for Pier P1 starter bars RFT (Pier-P1),,,,,,,,Bearing/anchor details required before RFT inspection and concrete release, LB-CW-CON-RFI-STR-002,24-Feb-26,28-Mar-26,-22,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,3,LMD-Bridge-P.03-UP-26-Jun-26,CON-LB-P2-RFT-1070,RFT for Pier P2 shaft RFT (Pier-P2),,,,,,,,Revised opening dimensions required before fixing starter bars, LB-CW-CON-RFI-STR-003,3-Mar-26,21-Mar-26,-8,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,4,LMD-Bridge-P.03-UP-26-Jun-26,CON-LB-DS-RFT-1080,RFT for Deck span diaphragm RFT (Deck-Span),,,,,,,,Drainage/pump detail required before slab casting, LB-CW-CON-RFI-STR-004,10-Mar-26,28-Mar-26,-8,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,5,LMD-Bridge-P.03-UP-26-Jun-26,CON-LB-AB-RFT-1090,RFT for Abutment B wing wall RFT (Abutment-B),,,,,,,,Access interface clarification required before activity handover, LB-CW-CON-RFI-STR-005,17-Mar-26,18-Apr-26,-22,,,,,,,,,,
