candidate_id,action_type,task_id,activity_id,activity_name,wbs_path,category,current_remaining_days,proposed_remaining_days,nominal_reduction_days,individual_shadow_gain_days,confidence,risk,priority_score,strategy,validation,resource_names,relationship,notes
UML-0204,LEARNED_CYCLE_OPTIMIZATION,237960,CLUSTER-1,Learned repetitive cycle cluster 1,Multiple WBS locations,learned_cluster_1,500.0,375.0,125.0,18.0,medium,medium,2061.0,Unsupervised cycle learning identified repeated/similar remaining activities. Benchmark slower members toward the learned lower-quartile duration using dedicated crews/workfaces or productivity balancing.,"Confirm that clustered activities are genuinely comparable in scope, quantities, location, method and resource conditions before adopting the benchmark.",,,81 activities changed from a cluster learned directly from this XER.
UML-0202,LAG_OPTIMIZATION,239234,HO-1010,Snag list for B01,ROYA-BIG PROJECT PHASE01 (B1-4) > Handover > Handover Works,learned_cluster_0,10.0,10.0,7.0,7.0,medium,medium,630.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-9TH-1080 -> HO-1010 (PR_FS, 14.00d)",Generated from native relationship statistics.
UML-0039,DURATION_COMPRESSION,238340,CON-B01-1ST-1050,"RFT for Slabs, Beams & Stairs(B01) (1st)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 1st  Floor,learned_cluster_1,12.0,8.4,3.6,3.6,high,high,369.553,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0009,DURATION_COMPRESSION,238367,CON-B01-4TH-1050,"RFT for Slabs, Beams & Stairs (B01) (4th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 4th   Floor,learned_cluster_1,12.0,8.4,3.6,3.6,high,high,365.171,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0205,LEARNED_CYCLE_OPTIMIZATION,239002,CLUSTER-0,Learned repetitive cycle cluster 0,Multiple WBS locations,learned_cluster_0,155.0,118.25,36.75,3.0,medium,medium,337.0,Unsupervised cycle learning identified repeated/similar remaining activities. Benchmark slower members toward the learned lower-quartile duration using dedicated crews/workfaces or productivity balancing.,"Confirm that clustered activities are genuinely comparable in scope, quantities, location, method and resource conditions before adopting the benchmark.",,,7 activities changed from a cluster learned directly from this XER.
UML-0051,DURATION_COMPRESSION,238033,CON-B01-BAS01-1060,RFT for Slabs & Beams (B01) (Bas 01),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 1,learned_cluster_1,10.0,7.0,3.0,3.0,high,high,312.079,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0021,DURATION_COMPRESSION,237962,CON-B01-BAS02-1070,RFT for Slabs & Beams (B01) (Bas 02),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 2,learned_cluster_1,10.0,7.0,3.0,3.0,high,high,311.605,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0047,DURATION_COMPRESSION,239266,F-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > Affected-Activities-Submission > B01 > Basement02,learned_cluster_0,18.0,14.4,3.6,3.0,medium,medium,309.803,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0048,DURATION_COMPRESSION,239266,F-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > Affected-Activities-Submission > B01 > Basement02,learned_cluster_0,18.0,12.6,5.4,3.0,medium,high,309.803,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0069,DURATION_COMPRESSION,238029,CON-B01-BAS01-1020,"Shuttering for Walls, Col. & Cores (B01) (Bas 01)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 1,learned_cluster_1,12.0,8.4,3.6,3.0,high,high,307.276,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Carpenter for concrete; the big cash; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0136,DURATION_COMPRESSION,239290,F-ENG-IFC-DLY01,Duration of resubmission of the re-worked shop-drawings,ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > IFC Fragnet,learned_cluster_0,59.0,53.1,5.9,3.0,medium,medium,307.0,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0137,DURATION_COMPRESSION,239290,F-ENG-IFC-DLY01,Duration of resubmission of the re-worked shop-drawings,ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > IFC Fragnet,learned_cluster_0,59.0,47.2,11.8,3.0,medium,medium,307.0,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0138,DURATION_COMPRESSION,239290,F-ENG-IFC-DLY01,Duration of resubmission of the re-worked shop-drawings,ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > IFC Fragnet,learned_cluster_0,59.0,41.3,17.7,3.0,medium,high,307.0,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0111,DURATION_COMPRESSION,238358,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 3rd   Floor,learned_cluster_1,10.0,7.0,3.0,3.0,high,high,305.632,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0066,DURATION_COMPRESSION,239234,HO-1010,Snag list for B01,ROYA-BIG PROJECT PHASE01 (B1-4) > Handover > Handover Works,learned_cluster_0,10.0,7.0,3.0,3.0,medium,high,303.132,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0084,DURATION_COMPRESSION,238376,CON-B01-5TH-1050,"RFT for Slabs, Beams & Stairs (B01) (5th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 5th  Floor,learned_cluster_1,9.0,6.3,2.7,2.7,high,high,277.711,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0054,DURATION_COMPRESSION,238313,CON-B01-6TH-1050,"RFT for Slabs, Beams & Stairs (B01) (6th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 6th   Floor,learned_cluster_1,9.0,6.3,2.7,2.7,high,high,277.25,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0129,DURATION_COMPRESSION,238322,CON-B01-7TH-1050,"RFT for Slabs, Beams & Stairs (B01) (7th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 7th   Floor,learned_cluster_1,9.0,6.3,2.7,2.7,high,high,276.921,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
