source_table,source_path,row_order,project_id,Project Name,Contract No,Employer,Contractor,Consultant,Baseline Name,Impacted Update Name,Data Date,Prepared By,Report Revision,Report Date,Delay Category,Primary Cause Family,Primary Claim Position,project_key,project_name,contract_number,employer,contractor,consultant,baseline_schedule_name,baseline_data_date,impacted_update_name,impacted_data_date,analysis_data_date,prepared_by,report_revision,report_date,calendar_name,contract_time_unit,project_finish_milestone_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path,source_id,source_role,source_file_name,source_relative_path,source_sha256,file_date,received_date,source_owner,source_status,notes,Coding No.,Supplier,Total Quantity,Date of delivery,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence,event_id,event_variant,event_name,event_category,responsible_party,notice_status,event_start,event_finish,claimed_delay_days,affected_activity_id,evidence_reference,causation_status,criticality_status,inclusion_in_integrated_eot,analyst_status,fragnet_activity_id,fragnet_activity_name,activity_type,original_duration_days,fragnet_start,fragnet_finish,data_date,activity_id,milestone_activity_name,before_total_float_days,before_forecast_finish,after_total_float_days,after_forecast_finish,float_change_days,finish_movement_calendar_days,impact_assessment,verification_status,Unnamed: 4,overlap_id,contractor_event_id,employer_event_id,overlap_start,overlap_finish,overlap_calendar_days,concurrent_delay_days,apportionment_method,concurrency_adjustment_days,included_in_adjustment,entitlement_position,Primary Event ID,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,Concurrent delay,WBS,Building / Zone,Total Float,Longest Path,First Affected Flag,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,evidence_id,evidence_type,document_date,time_bar_status,compensation_status,entitlement_status,Dia,RFT for RC Raft & Footings (B03) (footing) 196,RFT for RC Raft (B04) (Water Tank) 45.81,RFT for RC Raft & Footings (B02) (footing) 155.5,RFT for Columns & Walls Below SOG (B03) (footing),RFT for Columns & Walls Below SOG (B02) (footing),RFT for RC Raft & Footings (B01) (footing),RFT for Columns & Walls Below SOG (B01) (footing),"RFT for Walls, Col. & Cores (B03) (Bas 02)",RFT for Walls (B04) (Water Tank),RFT for RC Raft & Footings (B04) (footing) 192,RFT for Columns & Walls Below SOG (B04) (footing),"RFT for Walls, Col. & Cores (B02) (Bas 02)",1-Oct-25,1-Dec-25,1-Feb-26,1-May-26,scenario_id,scenario_name,status_date,baseline_progress_percent,impacted_progress_percent,recovery_progress_percent,baseline_finish,impacted_finish,recovery_finish,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,p6_update_reference,source_file,source_sheet,source_row,release_id,release_status,approval_status,baseline_project_finish,impacted_project_finish,gross_included_event_movement_days,integrated_eot_calendar_days,approved_matrix_reference,source_manifest_reference,approval_reference,approved_by,approved_date,reconciliation_id,issue_type,issue_description,historical_value,active_position,resolution_required,owner,status,artifact_id,artifact_type,artifact_title,output_filename,source_project_id,source_report_fingerprint,generated_at,review_status,publication_status
01-project_metadata_template,02-delay_analysis/unified_tia_csv/01-project_metadata_template.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,Suez-Tunnel,ST-01,Canal Infrastructure Authority,Nile National Construction JV,Delta PMO / Geotechnical Design Office,Suez-Tunnel Approved Baseline Rev.00,Suez-Tunnel-P.01-UP-26-Jun-26,5-Jun-26,Engineer Ahmed Labib,TIA-Rev.00,26-Jun-26,Steel / IFC / RFI / Payments,Employer steel supply / IFC redesign / RFI technical holds / payment delay,"Employer-driven steel and design delays require TIA evidence with readiness, supply balance, and critical-path proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02-master_activity_steel_analysis.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PE-RFT-1050,RFT for Portal raft reinforcement (Portal-East),BIG.Q.Rft,Portal-East,Yes,13-Nov-25,21-Nov-25,17-Nov-25,17-Dec-25,26-Oct-25,ALLOC-ST-001,Start,Finished,8,30,22,130.7,65.4,21,0,1.0,16.34,Engineer,IFC/shop drawing conflict delayed release for execution,Engineer,IFC/shop drawing conflict delayed release for execution,Fake dataset for dashboard/TIA testing only,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02-master_activity_steel_analysis.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PW-RFT-1060,RFT for Cut-cover base slab RFT (Portal-West),BIG.Q.Rft,Portal-West,Yes,27-Nov-25,5-Dec-25,21-Dec-25,20-Jan-26,9-Nov-25,ALLOC-ST-002,Start,Finished,8,30,22,225.5,155.9,41,0,1.0,28.19,Engineer,Free-issue reinforcement steel delivered late against planned need date,Engineer,Free-issue reinforcement steel delivered late against planned need date,Fake dataset for dashboard/TIA testing only,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02-master_activity_steel_analysis.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-CC-RFT-1070,RFT for Vent shaft wall RFT (Cut-Cover),BIG.Q.Rft,Cut-Cover,Yes,11-Dec-25,27-Dec-25,19-Dec-25,12-Jan-26,23-Nov-25,ALLOC-ST-003,Start,Finished,16,24,8,191.5,80.9,11,0,1.0,11.97,Engineer,Late payment certification constrained procurement recovery,Engineer,Late payment certification constrained procurement recovery,Fake dataset for dashboard/TIA testing only,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02-master_activity_steel_analysis.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-VS-RFT-1080,RFT for Pump room slab RFT (Vent-Shaft),BIG.Q.Rft,Vent-Shaft,Yes,25-Dec-25,2-Jan-26,29-Dec-25,28-Jan-26,7-Dec-25,ALLOC-ST-004,Start,Not Finished,8,30,22,136.6,77.5,24,33.2,0.76,17.07,Employer,IFC/shop drawing conflict delayed release for execution,Employer,IFC/shop drawing conflict delayed release for execution,Fake dataset for dashboard/TIA testing only,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02-master_activity_steel_analysis.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PR-RFT-1090,RFT for Tunnel approach retaining wall RFT (Pump-Room),BIG.Q.Rft,Pump-Room,Yes,8-Jan-26,16-Jan-26,16-Jan-26,9-Feb-26,21-Dec-25,ALLOC-ST-005,Start,Not Finished,8,24,16,122.0,60.9,16,22.2,0.82,15.25,Engineer,Late payment certification constrained procurement recovery,Engineer,Late payment certification constrained procurement recovery,Fake dataset for dashboard/TIA testing only,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03-employer_steel_supply_at_site.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST-MIR-STR-015-R00,Employer / Canal Infrastructure Authority,152.78,20-Oct-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03-employer_steel_supply_at_site.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST-MIR-STR-027-R00,Employer / Canal Infrastructure Authority,301.14,5-Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03-employer_steel_supply_at_site.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST-MIR-STR-039-R00,Employer / Canal Infrastructure Authority,77.91,14-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03-employer_steel_supply_at_site.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST-MIR-STR-051-R00,Employer / Canal Infrastructure Authority,410.13,28-Mar-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
