"Feature","Category","Status","Confidence","Score","BusinessValue","PackageEvidence","KeywordEvidence","EvidenceFileCount","EvidenceFiles","VerificationNeeded"
"Dashboard and KPI Analytics","Analytics","Strongly Evidenced","High","80","Provides management KPIs, status, trends, and summaries.","","dashboard; metric; variance; performance; analytics; kpi","32","README.md; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\03_elite_svg_charts.html; public\generated\Sophia-Mall\04_linked_executive_dashboard.html","Demonstrate end-to-end and validate the output."
"Cost Control and Earned Value","Project Controls","Strongly Evidenced","High","80","Supports earned-value analysis, cost control, and forecasting.","","eac; cpi; etc; evm; spi; cost variance; earned value","45","next.config.js; package-lock.json; package.json; README.md; tsconfig.json; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html","Demonstrate end-to-end and validate the output."
"Delay Analysis and Claims","Project Controls","Strongly Evidenced","High","80","Supports delay-event analysis, concurrency, entitlement, and EOT assessment.","","tia; eot; delay analysis; fragnet; extension of time; concurrency; claim; time impact","40","package-lock.json; README.md; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\03_elite_svg_charts.html","Demonstrate end-to-end and validate the output."
"Project Planning and Scheduling","Project Controls","Strongly Evidenced","High","80","Supports baseline review, schedule monitoring, and critical-path intelligence.","","baseline; p6; xer; primavera; activity; wbs; milestone; critical path; float","30","package-lock.json; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\03_elite_svg_charts.html; public\generated\Sophia-Mall\04_linked_executive_dashboard.html","Demonstrate end-to-end and validate the output."
"Reports and Export","Reporting","Strongly Evidenced","High","80","Produces downloadable reports, spreadsheets, documents, and presentations.","","export; csv; report; xlsx; docx","60","eslint.config.mjs; next.config.js; package-lock.json; README.md; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html","Demonstrate end-to-end and validate the output."
"AI Assistant / Chat","Artificial Intelligence","Strongly Evidenced","High","76","Conversational assistance, intelligent analysis, and tool-supported workflows.","groq-sdk","groq; assistant; openai","9","package-lock.json; package.json; src\app\globals.css; src\app\api\health\ai\route.ts; src\components\ai\AiChatPanel.tsx; src\components\ai\AiInsightCard.tsx; src\lib\ai\gateway.ts; src\lib\ai\groq.ts; src\lib\ai\openai.ts","Demonstrate end-to-end and validate the output."
"Contract and FIDIC Intelligence","Contracts","Strongly Evidenced","High","66","Supports contract interpretation, notices, claims, and clause evidence.","","notice; entitlement; contract clause","16","public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\04_linked_executive_dashboard.html; public\generated\Suez-Tunnel\02_master_dashboard.html; public\generated\Suez-Tunnel\04_linked_executive_dashboard.html; public\generated\The-BIG-PH01\02_master_dashboard.html; public\generated\The-BIG-PH01\04_linked_executive_dashboard.html; src\app\page.tsx","Demonstrate end-to-end and validate the output."
"Knowledge Search and RAG","Knowledge","Strongly Evidenced","High","66","Retrieves relevant records, documents, and evidence.","","rag; retrieval; embedding","10","eslint.config.mjs; package-lock.json; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; src\app\page.tsx; src\components\executive\ActionTracker.tsx","Demonstrate end-to-end and validate the output."
"Arabic, RTL, and Localization","User Experience","Strongly Evidenced","High","66","Supports localization and right-to-left interfaces.","","rtl; arabic; locale","7","package-lock.json; src\app\api\ask-ai\route.ts; src\app\api\intelligence\search\route.ts; src\app\api\technical-knowledge\ask\route.ts; src\components\executive\SourceConfidenceBadge.tsx; src\lib\ai\groq.ts; src\lib\ai\openai.ts","Demonstrate end-to-end and validate the output."
"Responsive and Mobile Experience","User Experience","Strongly Evidenced","High","66","Supports desktop, tablet, and mobile use.","","pwa; viewport; responsive","17","package-lock.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\03_elite_svg_charts.html; public\generated\Sophia-Mall\04_linked_executive_dashboard.html; public\generated\Suez-Tunnel\01_executive_dashboard.html; public\generated\Suez-Tunnel\02_master_dashboard.html; public\generated\Suez-Tunnel\03_elite_svg_charts.html; public\generated\Suez-Tunnel\04_linked_executive_dashboard.html; public\generated\The-BIG-PH01\01_executive_dashboard.html; public\generated\The-BIG-PH01\02_master_dashboard.html","Demonstrate end-to-end and validate the output."
