source_table,source_path,row_order,project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note,RFI,Submittion date,Reply,Delay beyond 10d,risk_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date
ifc_conflict,01-data/import_templates/ifc_conflict.csv,1,Nasr city-Tunnel,NCT-ENG-1030,Approve Structural Shop Drawings,21,17-Jan-26,6-Feb-26,18-Mar-26,19-Mar-26,8-Apr-26,-61,Synthetic record: approval was issued after coordinated review and redesign closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,2,Nasr city-Tunnel,NCT-A-RFT-1080,Building A Raft Reinforcement,20,7-Mar-26,26-Mar-26,18-Mar-26,19-Mar-26,7-Apr-26,-12,Synthetic record: revised details changed bar spacing and lap arrangement.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,3,Nasr city-Tunnel,NCT-B-RFT-1120,Building B Raft Reinforcement,22,15-Mar-26,5-Apr-26,2-Apr-26,3-Apr-26,24-Apr-26,-19,Synthetic record: work resumed after final coordinated reinforcement drawings.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,4,Nasr city-Tunnel,NCT-STR-1150,Ground Floor Structural Frame,45,13-Apr-26,27-May-26,28-Apr-26,29-Apr-26,12-Jun-26,-16,Synthetic record: column and beam interfaces were updated before restart.,,,,,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,1,Nasr city-Tunnel,NCT-DEP-EXC-1100,Depot bulk excavation and disposal,,,,,,,,Clarification received after the standard ten-day review period,RFI-101,3-Feb-26,16-Feb-26,3,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,2,Nasr city-Tunnel,NCT-DEP-PIL-1210,Depot pile cap reinforcement,,,,,,,,Rebar congestion detail required before inspection release,RFI-102,22-Mar-26,8-Apr-26,7,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,3,Nasr city-Tunnel,NCT-VIA-PIE-2310,Viaduct pier reinforcement and formwork,,,,,,,,Revised bearing-seat geometry issued with the response,RFI-103,14-May-26,5-Jun-26,12,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,4,Nasr city-Tunnel,NCT-UTL-DIV-3100,Diversion of existing utility corridor,,,,,,,,Utility authority coordination extended the response cycle,RFI-104,9-Jun-26,1-Jul-26,12,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,5,Nasr city-Tunnel,NCT-DEP-SLB-1420,Depot ground slab reinforcement and casting,,,,,,,,Construction joint arrangement confirmed after technical review,RFI-105,18-Jul-26,4-Aug-26,7,,,,,,,,,,
risks,01-data/import_templates/risks.csv,1,Nasr city-Tunnel,,,,,,,,,,,,,,,R-101,Employer-supplied reinforcement steel delivery slippage,Schedule,high,yes,yes,Mitigate,Project manager,open,31-Aug-26
risks,01-data/import_templates/risks.csv,2,Nasr city-Tunnel,,,,,,,,,,,,,,,R-102,Late approval of viaduct bearing-seat details,Engineering,medium,yes,yes,Avoid,Technical office manager,monitoring,15-Sep-26
risks,01-data/import_templates/risks.csv,3,Nasr city-Tunnel,,,,,,,,,,,,,,,R-103,Delayed interim payment certification,Commercial,medium,no,yes,Mitigate,Commercial manager,open,30-Sep-26
