source_table,source_path,row_order,project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note,RFI,Submittion date,Reply,Delay beyond 10d,risk_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date
ifc_conflict,01-data/import_templates/ifc_conflict.csv,1,Suez-Tunnel,E-SUB-ST-1020,Tunnel alignment shop drawings,18,6-Oct-25,26-Nov-25,30-Apr-26,1-May-26,19-May-26,-190,Mock record: revised IFC/design clarification affected tunnel sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,2,Suez-Tunnel,E-APP-ST-1020,Approval of tunnel alignment shop drawings,18,12-Nov-25,27-Dec-25,30-Apr-26,3-May-26,21-May-26,-165,Mock record: revised IFC/design clarification affected tunnel sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,3,Suez-Tunnel,CON-ST-EXC-1010,Open cut excavation and shoring,18,29-Oct-25,20-Feb-26,30-Apr-26,5-May-26,23-May-26,-116,Mock record: revised IFC/design clarification affected tunnel sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
ifc_conflict,01-data/import_templates/ifc_conflict.csv,4,Suez-Tunnel,CON-ST-RFT-1020,RFT for base slab reinforcement,18,28-Dec-25,22-Feb-26,30-Apr-26,7-May-26,25-May-26,-120,Mock record: revised IFC/design clarification affected tunnel sequence; restart allowed after approved drawings and coordination closure.,,,,,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,1,Suez-Tunnel,CON-ST-EXC-1010,Open cut excavation and shoring,,,,,,,,Response delayed beyond contractual review cycle,RFI-001,14-Oct-25,30-Oct-25,6,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,2,Suez-Tunnel,CON-ST-RFT-1020,RFT for base slab reinforcement,,,,,,,,Response delayed beyond contractual review cycle,RFI-002,13-Dec-25,1-Jan-26,9,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,3,Suez-Tunnel,CON-ST-CON-1030,Concrete casting for base slab,,,,,,,,Response delayed beyond contractual review cycle,RFI-003,13-Jan-26,4-Feb-26,12,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,4,Suez-Tunnel,CON-ST-WALL-1040,Tunnel wall reinforcement and formwork,,,,,,,,Response delayed beyond contractual review cycle,RFI-004,11-Feb-26,8-Mar-26,15,,,,,,,,,,
rfi_ status,01-data/import_templates/rfi_ status.csv,5,Suez-Tunnel,CON-ST-SLAB-1050,Roof slab reinforcement and concrete,,,,,,,,Response delayed beyond contractual review cycle,RFI-005,12-Apr-26,10-May-26,18,,,,,,,,,,
risks,01-data/import_templates/risks.csv,1,Suez-Tunnel,,,,,,,,,,,,,,,R-001,Steel delivery delay,Schedule,high,yes,yes,Mitigate,Project manager,open,30-Jun-26
risks,01-data/import_templates/risks.csv,2,Suez-Tunnel,,,,,,,,,,,,,,,R-002,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26
risks,01-data/import_templates/risks.csv,3,Suez-Tunnel,,,,,,,,,,,,,,,R-003,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26, E-SUB-ST-PE-1040,Submittal for structural RFT/embedded coordination (Portal-East),14,6-Dec-25,9-Jan-26,1-May-26,6-May-26,20-May-26,131,Fake IFC conflict: revised structural/MEP coordination delayed release for Portal-East; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26, E-SUB-ST-PW-1050,Submittal for structural RFT/embedded coordination (Portal-West),21,18-Dec-25,21-Mar-26,2-May-26,5-May-26,26-May-26,66,Fake IFC conflict: revised structural/MEP coordination delayed release for Portal-West; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26, E-SUB-ST-CC-1060,Submittal for structural RFT/embedded coordination (Cut-Cover),14,30-Dec-25,18-Feb-26,30-Apr-26,3-May-26,17-May-26,88,Fake IFC conflict: revised structural/MEP coordination delayed release for Cut-Cover; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26, E-SUB-ST-VS-1070,Submittal for structural RFT/embedded coordination (Vent-Shaft),21,11-Jan-26,27-Mar-26,1-May-26,3-May-26,24-May-26,58,Fake IFC conflict: revised structural/MEP coordination delayed release for Vent-Shaft; use for dashboard/TIA testing only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26, E-SUB-ST-PR-1080,Submittal for structural RFT/embedded coordination (Pump-Room),21,23-Jan-26,26-Apr-26,2-May-26,4-May-26,25-May-26,29,Fake IFC conflict: revised structural/MEP coordination delayed release for Pump-Room; use for dashboard/TIA testing only,,,,,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,CON-ST-PE-RFT-1050,RFT for Portal raft reinforcement (Portal-East),,,,,,,,Reply required before embedded MEP sleeves and reinforcement closure, ST-CW-CON-RFI-STR-001,17-Feb-26,21-Mar-26,-22,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,CON-ST-PW-RFT-1060,RFT for Cut-cover base slab RFT (Portal-West),,,,,,,,Bearing/anchor details required before RFT inspection and concrete release, ST-CW-CON-RFI-STR-002,24-Feb-26,28-Mar-26,-22,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,CON-ST-CC-RFT-1070,RFT for Vent shaft wall RFT (Cut-Cover),,,,,,,,Revised opening dimensions required before fixing starter bars, ST-CW-CON-RFI-STR-003,3-Mar-26,13-Apr-26,-31,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,CON-ST-VS-RFT-1080,RFT for Pump room slab RFT (Vent-Shaft),,,,,,,,Drainage/pump detail required before slab casting, ST-CW-CON-RFI-STR-004,10-Mar-26,27-Apr-26,-38,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,CON-ST-PR-RFT-1090,RFT for Tunnel approach retaining wall RFT (Pump-Room),,,,,,,,Access interface clarification required before activity handover, ST-CW-CON-RFI-STR-005,17-Mar-26,10-Apr-26,-14,,,,,,,,,,
